N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
81,코웨이,"54,600","1,200",-2.15%,500,"40,295","73,800",61.67,"177,868",8.59,27.41,
82,유한양행,"51,800",100,-0.19%,"1,000","39,699","76,639",20.20,"160,343",53.96,5.45,
83,GS,"42,500",0,0.00%,"5,000","39,489","92,915",25.45,"78,962",1.81,15.55,
84,두산밥캣,"38,300",0,0.00%,500,"38,395","100,249",30.53,"207,191",7.95,9.19,
85,SKC,"100,700","3,400",+3.49%,"5,000","38,133","37,868",14.08,"551,041",28.33,11.60,
86,삼성카드,"30,750",50,+0.16%,"5,000","35,627","115,859",6.45,"39,565",6.08,7.53,
87,현대차2우B,"95,500","1,400",+1.49%,"5,000","34,844","36,485",60.69,"50,632",4.26,N/A,
88,한국금융지주,"61,200",200,+0.33%,"5,000","34,104","55,726",37.29,"76,940",4.29,27.12,
89,아모레G,"41,350","1,500",-3.50%,500,"34,096","82,458",9.97,"287,267",106.85,5.49,
90,팬오션,"6,300",280,+4.65%,"1,000","33,678","534,570",14.71,"3,769,045",4.32,17.16,
91,한미약품,"267,000","8,500",-3.09%,"2,500","33,541","12,562",16.40,"35,636",41.52,8.75,
92,이마트,"119,000","3,300",+2.85%,"5,000","33,172","27,876",31.55,"190,575",3.58,16.25,
93,롯데지주,"31,350",250,+0.80%,200,"32,889","104,909",9.43,"111,695",18.77,4.61,
94,현대오토에버,"118,400","1,800",+1.54%,500,"32,470","27,424",2.67,"72,570",36.13,7.26,
95,호텔신라,"80,800","1,300",-1.58%,"5,000","31,712","39,248",19.39,"206,402",66.61,4.51,
96,NH투자증권,"9,510",30,+0.32%,"5,000","31,541","331,666",12.91,"238,049",7.52,14.77,
97,GS리테일,"30,050",800,-2.59%,"1,000","31,468","104,718",8.67,"152,991",34.86,25.58,
98,BGF리테일,"181,700","1,600",-0.87%,"1,000","31,405","17,284",33.79,"22,382",16.68,19.61,
99,KODEX KOFR금리액티브(합성),"102,175",10,+0.01%,0,"31,152","30,489",0.00,"34,556",N/A,N/A,
100,현대미포조선,"77,000","2,900",+3.91%,"5,000","30,755","39,942",20.96,"517,256",114.24,-7.11,
101,TIGER 차이나전기차SOLACTIVE,"12,095",10,-0.08%,0,"30,281","250,360",0.17,"3,423,068",N/A,N/A,
102,삼성증권,"33,700",250,+0.75%,"5,000","30,094","89,300",28.13,"206,102",5.42,16.94,
103,쌍용C&E,"5,960",20,-0.33%,100,"30,030","503,860",2.65,"517,629",45.50,11.12,
104,일진머티리얼즈,"64,900","1,900",+3.02%,500,"29,926","46,111",9.92,"467,230",53.68,7.85,
105,한국가스공사,"31,500",200,+0.64%,"5,000","29,079","92,313",9.19,"192,005",2.46,11.63,
106,씨에스윈드,"67,500",500,+0.75%,500,"28,466","42,171",11.76,"256,750",226.51,10.13,
107,현대로템,"25,900",100,+0.39%,"5,000","28,268","109,142",6.94,"826,174",25.77,5.01,
108,에스디바이오센서,"26,900","1,600",-5.61%,500,"28,098","104,452",15.20,"558,637",2.03,72.47,
